timestamp,red,ir
15896129,83863,121407
15906129,83869,121404
15916129,83875,121402
15926129,83862,121395
15936129,83855,121378
15946129,83850,121384
15957129,83859,121385
15967129,83854,121362
15977129,83851,121368
15987129,83855,121373
15997129,83849,121375
16007129,83839,121371
16017129,83859,121382
16027129,83848,121391
16037129,83857,121395
16047129,83851,121401
16057129,83867,121415
16067129,83869,121425
16077129,83860,121427
16087129,83868,121429
16097129,83861,121424
16107129,83865,121421
16117129,83867,121411
16127129,83859,121426
16137129,83865,121417
16147129,83851,121424
16158129,83861,121422
16168129,83858,121424
16178129,83860,121411
16188129,83857,121424
16198129,83848,121437
16208129,83849,121443
16218129,83859,121432
16228129,83862,121442
16238129,83867,121456
16248129,83857,121466
16258129,83870,121463
16268129,83862,121465
16278129,83877,121445
16288129,83867,121435
16298129,83859,121419
16308129,83861,121380
16318129,83848,121378
16328129,83846,121344
16338129,83839,121347
16348129,83835,121350
16358129,83846,121341
16369129,83828,121353
16379129,83836,121347
16389129,83836,121359
16399129,83836,121354
16409129,83825,121362
16419129,83838,121386
16429129,83846,121385
16439129,83833,121390
16449129,83835,121417
16459129,83847,121429
16469129,83856,121418
16479129,83857,121434
16489129,83858,121445
16499129,83847,121430
16509129,83852,121434
16519129,83854,121432
16529129,83868,121410
16539129,83849,121417
16549129,83856,121409
16559129,83847,121406
16570129,83843,121402
16580129,83850,121407
16590129,83851,121412
16600129,83850,121415
16610129,83843,121423
16620129,83853,121437
16630129,83861,121434
16640129,83863,121463
16650129,83864,121471
16660129,83868,121481
16670129,83867,121489
16680129,83884,121492
16690129,83894,121504
16700129,83890,121500
16710129,83892,121503
16720129,83883,121495
16730129,83879,121492
16740129,83882,121500
16750129,83882,121501
16760129,83876,121516
16770129,83882,121505
16781129,83877,121504
16791129,83887,121503
16801129,83885,121499
16811129,83873,121514
16821129,83881,121512
16831129,83877,121506
16841129,83879,121513
16851129,83885,121512
16861129,83882,121523
16871129,83874,121517
16881129,83882,121517
16891129,83880,121505
16901129,83888,121473
16911129,83886,121462
16921129,83867,121439
16931129,83861,121413
16941129,83861,121391
16951129,83845,121378
16961129,83843,121361
16971129,83839,121369
16982129,83839,121362
16992129,83833,121362
17002129,83834,121374
17012129,83841,121394
17022129,83843,121396
17032129,83846,121388
17042129,83839,121402
17052129,83854,121420
17062129,83846,121433
17072129,83849,121438
17082129,83855,121439
17092129,83859,121446
17102129,83863,121451
17112129,83862,121442
17122129,83855,121437
17132129,83851,121450
17142129,83866,121434
17152129,83848,121421
17162129,83845,121405
17172129,83840,121421
17182129,83840,121398
17193129,83839,121395
17203129,83837,121389
17213129,83835,121396
17223129,83832,121416
17233129,83837,121395
17243129,83826,121403
17253129,83841,121412
17263129,83837,121421
17273129,83837,121432
