timestamp,red,ir
104912741,84817,124775
104922741,84813,124796
104932741,84809,124780
104942741,84811,124783
104953741,84805,124779
104963741,84799,124793
104973741,84797,124772
104983741,84803,124772
104993741,84797,124785
105003741,84804,124776
105013741,84807,124770
105023741,84799,124791
105033741,84809,124805
105043741,84817,124816
105053741,84819,124839
105063741,84823,124826
105073741,84828,124837
105083741,84835,124838
105093741,84823,124837
105103741,84829,124849
105113741,84826,124845
105123741,84823,124849
105133741,84832,124838
105143741,84827,124846
105153741,84821,124832
105164741,84824,124831
105174741,84824,124817
105184741,84824,124815
105194741,84827,124835
105204741,84826,124821
105214741,84828,124824
105224741,84830,124826
105234741,84822,124844
105244741,84825,124845
105254741,84833,124854
105264741,84831,124863
105274741,84837,124861
105284741,84840,124870
105294741,84839,124872
105304741,84831,124885
105314741,84842,124881
105324741,84838,124886
105334741,84830,124873
105344741,84831,124884
105354741,84824,124878
105365741,84823,124880
105375741,84823,124875
105385741,84820,124869
105395741,84825,124878
105405741,84816,124876
105415741,84816,124879
105425741,84816,124875
105435741,84825,124877
105445741,84813,124894
105455741,84806,124893
105465741,84816,124889
105475741,84820,124894
105485741,84826,124898
105495741,84824,124903
105505741,84817,124907
105515741,84820,124910
105525741,84812,124904
105535741,84820,124900
105545741,84812,124912
105555741,84809,124908
105565741,84824,124909
105576741,84806,124924
105586741,84805,124921
105596741,84803,124934
105606741,84812,124930
105616741,84811,124938
105626741,84797,124930
105636741,84803,124928
105646741,84808,124947
105656741,84804,124953
105666741,84808,124959
105676741,84820,124957
105686741,84826,124959
105696741,84817,124962
105706741,84817,124965
105716741,84818,124973
105726741,84814,124970
105736741,84817,124971
105746741,84807,124985
105756741,84805,124977
105766741,84799,124963
105776741,84799,124952
105787741,84792,124942
105797741,84782,124940
105807741,84788,124915
105817741,84778,124905
105827741,84773,124887
105837741,84769,124890
105847741,84763,124878
105857741,84760,124883
105867741,84763,124894
105877741,84759,124889
105887741,84771,124897
105897741,84754,124878
105907741,84765,124881
105917741,84763,124895
105927741,84760,124890
105937741,84766,124901
105947741,84767,124896
105957741,84771,124905
105967741,84756,124907
105977741,84766,124911
105988741,84758,124910
105998741,84758,124904
106008741,84752,124888
106018741,84755,124919
106028741,84754,124894
106038741,84758,124924
106048741,84758,124901
106058741,84750,124904
106068741,84759,124928
106078741,84756,124915
106088741,84761,124915
106098741,84762,124915
106108741,84770,124922
106118741,84767,124923
106128741,84764,124912
106138741,84760,124918
106148741,84761,124918
106158741,84772,124918
106168741,84759,124929
106178741,84757,124924
106188741,84755,124919
106199741,84752,124932
106209741,84747,124921
106219741,84758,124924
106229741,84745,124939
106239741,84732,124938
106249741,84754,124928
106259741,84753,124933
106269741,84759,124953
106279741,84746,124951
106289741,84753,124952
106299741,84766,124956
106309741,84762,124953
106319741,84768,124947
106329741,84769,124961
106339741,84765,124954
106349741,84763,124950
106359741,84770,124956
106369741,84760,124953
106379741,84763,124959
106389741,84763,124944
106400741,84752,124953
106410741,84754,124956
106420741,84758,124936
106430741,84750,124933
106440741,84745,124932
106450741,84749,124932
106460741,84746,124904
106470741,84750,124913
106480741,84736,124896
106490741,84746,124897
106500741,84744,124900
106510741,84743,124891
106520741,84743,124900
106530741,84758,124916
106540741,84753,124917
106550741,84748,124919
106560741,84754,124930
106570741,84756,124926
106580741,84751,124930
106590741,84761,124937
106600741,84759,124933
106611741,84752,124933
106621741,84753,124920
106631741,84757,124938
106641741,84749,124941
106651741,84757,124947
106661741,84754,124955
106671741,84764,124957
106681741,84751,124946
106691741,84742,124960
106701741,84754,124965
106711741,84756,124941
106721741,84758,124945
106731741,84758,124942
106741741,84758,124939
106751741,84749,124957
106761741,84754,124950
106771741,84761,124960
106781741,84760,124951
106791741,84760,124956
106801741,84749,124959
106811741,84741,124959
106822741,84747,124957
106832741,84745,124971
106842741,84736,124961
106852741,84741,124972
106862741,84737,124959
106872741,84740,124977
106882741,84740,124977
106892741,84752,124976
106902741,84746,124984
106912741,84733,124970
106922741,84743,124976
106932741,84741,124971
106942741,84741,124964
106952741,84742,124967
106962741,84729,124957
106972741,84733,124962
106982741,84730,124951
106992741,84741,124943
107002741,84728,124948
107012741,84731,124967
107023741,84733,124961
107033741,84716,124955
107043741,84722,124956
107053741,84717,124956
107063741,84714,124956
107073741,84715,124961
107083741,84724,124944
107093741,84717,124938
107103741,84700,124939
107113741,84707,124928
107123741,84713,124947
107133741,84711,124925
107143741,84714,124932
107153741,84706,124939
107163741,84709,124928
107173741,84723,124931
107183741,84710,124944
107193741,84712,124938
107203741,84712,124941
107213741,84708,124942
107223741,84702,124944
107234741,84699,124946
107244741,84696,124940
107254741,84694,124955
107264741,84687,124943
107274741,84705,124957
107284741,84691,124949
107294741,84703,124955
107304741,84695,124958
107314741,84706,124956
107324741,84703,124967
107334741,84702,124963
107344741,84708,124961
107354741,84707,124970
107364741,84703,124968
107374741,84712,124970
107384741,84703,124963
107394741,84702,124963
107404741,84692,124945
107414741,84691,124951
107424741,84679,124966
107434741,84680,124948
107445741,84685,124964
107455741,84679,124963
107465741,84680,124953
107475741,84678,124956
107485741,84674,124959
107495741,84670,124964
107505741,84672,124961
107515741,84676,124975
107525741,84677,124989
107535741,84673,124994
107545741,84694,124992
107555741,84683,124996
107565741,84690,124987
107575741,84689,124993
107585741,84671,124996
107595741,84686,125003
107605741,84677,124978
107615741,84679,124980
107625741,84662,125000
107635741,84665,124988
107646741,84673,124988
107656741,84671,124994
107666741,84670,124982
107676741,84670,124991
107686741,84656,124972
107696741,84653,124968
107706741,84655,124950
107716741,84658,124957
107726741,84647,124959
107736741,84653,124955
107746741,84652,124948
107756741,84650,124959
107766741,84652,124939
107776741,84653,124944
107786741,84657,124953
107796741,84652,124939
107806741,84646,124934
107816741,84656,124952
107826741,84642,124946
107836741,84638,124948
107846741,84639,124943
107857741,84635,124951
107867741,84632,124940
107877741,84639,124938
107887741,84632,124943
107897741,84632,124943
107907741,84640,124936
107917741,84630,124933
107927741,84635,124943
107937741,84639,124944
107947741,84645,124950
107957741,84638,124947
107967741,84653,124955
107977741,84647,124948
107987741,84651,124954
107997741,84653,124963
108007741,84645,124957
108017741,84647,124955
108027741,84653,124953
108037741,84654,124967
108047741,84650,124986
108057741,84651,124964
108068741,84650,124975
108078741,84651,124986
108088741,84648,124963
108098741,84651,124995
108108741,84651,124986
108118741,84650,124996
108128741,84645,124994
108138741,84647,124985
108148741,84648,125005
108158741,84657,124999
108168741,84662,124993
108178741,84667,125002
108188741,84671,124999
108198741,84661,125001
108208741,84656,125001
108218741,84663,125006
108228741,84657,124995
108238741,84661,124986
108248741,84653,124991
108258741,84645,124985
108269741,84644,124974
108279741,84636,124968
108289741,84632,124947
108299741,84632,124960
108309741,84624,124941
108319741,84641,124931
108329741,84626,124901
108339741,84626,124919
108349741,84621,124935
108359741,84616,124915
108369741,84623,124928
108379741,84626,124925
108389741,84638,124937
108399741,84637,124933
108409741,84634,124936
108419741,84639,124953
108429741,84632,124939
108439741,84640,124955
108449741,84633,124947
108459741,84634,124945
108469741,84627,124955
108480741,84644,124950
108490741,84630,124950
108500741,84632,124960
108510741,84626,124942
108520741,84629,124954
108530741,84620,124938
108540741,84625,124953
108550741,84623,124953
108560741,84622,124948
108570741,84628,124959
108580741,84633,124954
108590741,84642,124961
108600741,84627,124952
108610741,84633,124956
108620741,84617,124956
108630741,84629,124963
108640741,84628,124967
108650741,84635,124967
108660741,84637,124966
108670741,84619,124973
108680741,84627,124961
108691741,84614,124963
108701741,84623,124968
108711741,84624,124968
108721741,84618,124978
108731741,84611,124968
108741741,84627,124987
108751741,84619,124978
108761741,84617,124977
108771741,84617,124989
108781741,84625,124977
108791741,84626,124983
108801741,84618,124986
108811741,84619,124968
108821741,84620,124988
108831741,84620,124984
108841741,84626,124983
108851741,84617,124977
108861741,84624,124981
108871741,84616,124980
108881741,84618,124973
108892741,84621,124958
108902741,84616,124954
108912741,84592,124934
108922741,84598,124937
108932741,84575,124928
108942741,84600,124931
108952741,84590,124925
108962741,84597,124931
108972741,84587,124927
108982741,84583,124942
108992741,84587,124937
109002741,84594,124928
109012741,84600,124944
109022741,84598,124952
109032741,84602,124947
109042741,84596,124960
109052741,84598,124959
109062741,84609,124951
109072741,84599,124959
109082741,84601,124949
109092741,84585,124953
109103741,84587,124965
109113741,84585,124954
109123741,84583,124967
109133741,84581,124941
